,Climate Zone,City,U,SHGC,HeatingSource,CoolingSource,FanSource,TotalSource
61,1A,Miami,0.1,0.2,0.24932000000000004,17458.62589,7767.257519999999,25226.132729999998
62,1A,Miami,0.1,0.30000000000000004,0.10840000000000001,18028.21084,8006.39769,26034.716930000002
63,1A,Miami,0.1,0.35000000000000003,0.08672,18331.41942,8134.6295199999995,26466.135659999996
64,1A,Miami,0.1,0.45,0.11924000000000001,18964.12268,8436.31794,27400.55986
65,1A,Miami,0.1,0.4,0.10840000000000001,18652.10984,8281.99003,26934.208270000003
66,1A,Miami,0.1,0.55,0.07588000000000002,19570.413159999996,8727.111879999999,28297.600919999997
67,1A,Miami,0.1,0.5,0.10840000000000001,19253.7765,8582.18996,27836.07486
68,1A,Miami,0.1,0.6000000000000001,0.06504,19865.03917,8874.37738,28739.481590000003
69,1A,Miami,0.1,0.65,0.04336,20152.79279,9019.42598,29172.26213
70,1A,Miami,0.1,0.7000000000000001,0.02168,20440.831439999998,9167.926609999999,29608.77973
71,1A,Miami,0.1,0.75,0.02168,20747.27036,9305.72278,30053.01482
72,1A,Miami,0.1,0.8500000000000001,0.0,21345.548329999998,9542.361019999998,30887.909349999994
73,1A,Miami,0.1,0.8,0.0,21033.123779999998,9419.291399999998,30452.415179999996
74,1A,Miami,0.1,0.9500000000000001,0.01084,21950.952049999996,9784.509839999999,31735.472729999994
75,1A,Miami,0.1,0.9,0.01084,21647.015059999998,9664.19551,31311.22141
76,1A,Miami,0.25,0.01,2.3197600000000005,16168.421759999997,7274.69401,23445.43553
77,1A,Miami,0.25,0.15000000000000002,1.01896,17008.436840000002,7659.45284,24668.90864
78,1A,Miami,0.25,0.1,1.7560800000000003,16781.80632,7539.64523,24323.207629999997
79,1A,Miami,0.25,0.25,0.5853600000000001,17588.2512,7885.101589999999,25473.938149999998
80,1A,Miami,0.25,0.2,0.7154400000000001,17291.37662,7766.49744,25058.5895
81,1A,Miami,0.25,0.30000000000000004,0.542,17886.20256,8008.329559999999,25895.07412
82,1A,Miami,0.25,0.35000000000000003,0.5311600000000001,18175.98306,8138.04988,26314.564099999996
83,1A,Miami,0.25,0.45,0.4986400000000001,18813.690179999998,8437.394719999998,27251.58354
84,1A,Miami,0.25,0.4,0.52032,18500.72724,8282.52842,26783.77598
85,1A,Miami,0.25,0.55,0.48780000000000007,19412.53821,8720.20782,28133.233829999997
86,1A,Miami,0.25,0.5,0.48780000000000007,19098.023439999997,8576.39435,27674.905589999995
87,1A,Miami,0.25,0.6000000000000001,0.47696000000000005,19692.279319999998,8865.63646,28558.392739999996
88,1A,Miami,0.25,0.65,0.45528,19998.274859999998,9009.069889999999,29007.800029999995
89,1A,Miami,0.25,0.7000000000000001,0.45528,20273.42382,9134.07138,29407.95048
90,1A,Miami,0.25,0.75,0.43360000000000004,20566.84637,9247.0066,29814.28657
91,1A,Miami,0.25,0.8500000000000001,0.39024000000000003,21157.808569999997,9477.81756,30636.016369999998
92,1A,Miami,0.25,0.8,0.41192,20856.50019,9362.285399999999,30219.197509999998
93,1A,Miami,0.25,0.9500000000000001,0.34688,21759.475229999996,9714.04409,31473.866199999997
94,1A,Miami,0.25,0.9,0.34688,21455.22154,9596.54839,31052.11681
95,1A,Miami,0.2,0.01,1.8970000000000002,16204.715579999998,7284.0049899999985,23490.61757
96,1A,Miami,0.2,0.15000000000000002,0.8021600000000001,17113.10619,7660.37127,24774.279619999998
97,1A,Miami,0.2,0.1,1.52844,16820.950439999997,7543.4773,24365.956179999994
98,1A,Miami,0.2,0.25,0.35772000000000004,17623.30989,7881.269519999999,25504.93713
99,1A,Miami,0.2,0.2,0.48780000000000007,17335.93631,7765.4839999999995,25101.90811
100,1A,Miami,0.2,0.30000000000000004,0.3252,17932.12406,8006.809399999999,25939.258659999996
101,1A,Miami,0.2,0.35000000000000003,0.3252,18228.808619999996,8137.41648,26366.550299999995
102,1A,Miami,0.2,0.45,0.29268000000000005,18859.421659999996,8436.507959999999,27296.222299999994
103,1A,Miami,0.2,0.4,0.30352000000000007,18543.54508,8280.91325,26824.761850000003
104,1A,Miami,0.2,0.55,0.271,19454.21593,8720.93623,28175.42316
105,1A,Miami,0.2,0.5,0.28184000000000003,19143.78659,8580.73314,27724.80157
106,1A,Miami,0.2,0.6000000000000001,0.24932000000000004,19748.01852,8866.649899999999,28614.917739999997
107,1A,Miami,0.2,0.65,0.23848000000000003,20045.96988,9010.52671,29056.735070000002
108,1A,Miami,0.2,0.7000000000000001,0.21680000000000002,20316.71671,9149.93805,29466.87156
109,1A,Miami,0.2,0.75,0.18428000000000003,20624.1374,9266.73701,29891.05869
110,1A,Miami,0.2,0.8500000000000001,0.14092000000000002,21218.931669999998,9497.73799,30716.810579999998
111,1A,Miami,0.2,0.8,0.14092000000000002,20918.41504,9380.74901,30299.30497
112,1A,Miami,0.2,0.9500000000000001,0.15176000000000003,21822.78356,9737.638239999998,31560.573559999997
113,1A,Miami,0.2,0.9,0.15176000000000003,21517.92814,9619.47747,31137.557370000002
114,1A,Miami,0.30000000000000004,0.01,3.0352,16138.27192,7265.858079999999,23407.1652
115,1A,Miami,0.30000000000000004,0.15000000000000002,1.3766800000000001,16993.67862,7662.90487,24657.96017
116,1A,Miami,0.30000000000000004,0.1,2.1463200000000002,16759.41563,7540.91203,24302.47398
117,1A,Miami,0.30000000000000004,0.25,0.91056,17574.98147,7899.7648,25475.65683
118,1A,Miami,0.30000000000000004,0.2,1.084,17284.97928,7776.69518,25062.758459999997
119,1A,Miami,0.30000000000000004,0.30000000000000004,0.84552,17891.61813,8027.64826,25920.11191
120,1A,Miami,0.30000000000000004,0.35000000000000003,0.8346800000000001,18190.17122,8161.10564,26352.111539999998
121,1A,Miami,0.30000000000000004,0.45,0.7804800000000001,18782.40022,8436.60297,27219.78367
122,1A,Miami,0.30000000000000004,0.4,0.8130000000000001,18488.78765,8297.25497,26786.855619999995
123,1A,Miami,0.30000000000000004,0.55,0.7371200000000001,19367.97852,8720.55619,28089.27183
124,1A,Miami,0.30000000000000004,0.5,0.76964,19063.50314,8575.53926,27639.812039999997
125,1A,Miami,0.30000000000000004,0.6000000000000001,0.7154400000000001,19661.527749999997,8867.21996,28529.463149999996
126,1A,Miami,0.30000000000000004,0.65,0.69376,19940.6988,9002.957579999998,28944.350139999995
127,1A,Miami,0.30000000000000004,0.7000000000000001,0.66124,20229.71922,9119.28149,29349.66195
128,1A,Miami,0.30000000000000004,0.75,0.62872,20518.993,9230.98158,29750.6033
129,1A,Miami,0.30000000000000004,0.8500000000000001,0.6070400000000001,21116.03584,9461.53918,30578.18206
130,1A,Miami,0.30000000000000004,0.8,0.5962000000000001,20805.89153,9343.75845,30150.246180000002
