,Climate Zone,City,U,SHGC,HeatingSource,CoolingSource,FanSource,TotalSource
57,4B,Albuquerque,0.1,0.01,329.50348,2581.39003,1775.9585899999997,4686.8521
58,4B,Albuquerque,0.1,0.15000000000000002,561.9456,2638.5227099999997,1897.0646699999998,5097.53298
59,4B,Albuquerque,0.1,0.1,510.7266,2630.28851,1851.6182199999998,4992.63333
60,4B,Albuquerque,0.1,0.25,545.5772000000001,2862.17625,1988.5593,5396.31275
61,4B,Albuquerque,0.1,0.2,561.241,2745.72566,1942.0044,5248.97106
62,4B,Albuquerque,0.1,0.30000000000000004,539.2032800000001,2989.67967,2034.0057499999998,5562.8886999999995
63,4B,Albuquerque,0.1,0.35000000000000003,534.78056,3119.1782999999996,2077.39365,5731.35251
64,4B,Albuquerque,0.1,0.45,520.6994000000001,3394.67563,2186.7184899999997,6102.09352
65,4B,Albuquerque,0.1,0.4,528.9486400000001,3255.4226400000002,2130.18754,5914.55882
66,4B,Albuquerque,0.1,0.55,508.37432000000007,3647.9089499999995,2295.0615599999996,6451.34483
67,4B,Albuquerque,0.1,0.5,514.91084,3522.24239,2240.52582,6277.67905
68,4B,Albuquerque,0.1,0.6000000000000001,501.46924000000007,3770.78855,2350.4840599999998,6622.74185
69,4B,Albuquerque,0.1,0.65,494.96524000000005,3892.3380099999995,2406.6032999999998,6793.90655
70,4B,Albuquerque,0.1,0.7000000000000001,489.6644800000001,4010.21375,2463.16592,6963.04415
71,4B,Albuquerque,0.1,0.75,485.5778,4126.949369999999,2520.52029,7133.04746
72,4B,Albuquerque,0.1,0.8500000000000001,475.13888000000003,4363.84097,2635.8624299999997,7474.842280000001
73,4B,Albuquerque,0.1,0.8,479.82176000000004,4242.576539999999,2578.06468,7300.462979999998
74,4B,Albuquerque,0.1,0.9500000000000001,466.13084000000003,4612.6088199999995,2752.7563999999998,7831.4960599999995
75,4B,Albuquerque,0.1,0.9,470.01156000000003,4484.94705,2694.0085499999996,7648.967159999999
76,4B,Albuquerque,0.25,0.01,498.75924000000003,2491.19387,1751.9210599999997,4741.874169999999
77,4B,Albuquerque,0.25,0.15000000000000002,661.0557200000001,2471.65348,1857.25548,4989.96468
78,4B,Albuquerque,0.25,0.1,646.29164,2420.88647,1815.0710399999998,4882.24915
79,4B,Albuquerque,0.25,0.25,618.9098000000001,2683.36743,1940.04086,5242.31809
80,4B,Albuquerque,0.25,0.2,640.4272,2570.27386,1897.4763799999998,5108.1774399999995
81,4B,Albuquerque,0.25,0.30000000000000004,605.7934,2800.41975,1983.4604299999999,5389.67358
82,4B,Albuquerque,0.25,0.35000000000000003,594.87752,2922.2542399999998,2025.6448699999999,5542.776629999999
83,4B,Albuquerque,0.25,0.45,574.7259600000001,3189.9924199999996,2127.24223,5891.96061
84,4B,Albuquerque,0.25,0.4,584.91556,3054.03311,2073.94162,5712.890289999999
85,4B,Albuquerque,0.25,0.55,556.40636,3437.74683,2229.12462,6223.27781
86,4B,Albuquerque,0.25,0.5,565.5986800000001,3313.8537899999997,2177.6608699999997,6057.11334
87,4B,Albuquerque,0.25,0.6000000000000001,547.8536,3558.9479199999996,2281.00008,6387.8016
88,4B,Albuquerque,0.25,0.65,539.84284,3678.5971799999998,2333.7939699999997,6552.23399
89,4B,Albuquerque,0.25,0.7000000000000001,531.96216,3795.9345299999995,2387.12625,6715.022939999999
90,4B,Albuquerque,0.25,0.75,522.759,3910.6115999999997,2440.99692,6874.36752
91,4B,Albuquerque,0.25,0.8500000000000001,508.40684000000005,4137.87552,2550.29009,7196.57245
92,4B,Albuquerque,0.25,0.8,515.2577200000001,4024.7502799999993,2495.46932,7035.47732
93,4B,Albuquerque,0.25,0.9500000000000001,494.53164000000004,4380.151019999999,2660.97674,7535.6594
94,4B,Albuquerque,0.25,0.9,500.74296000000004,4257.04973,2605.52257,7363.31526
95,4B,Albuquerque,0.2,0.01,440.07148000000007,2514.85136,1757.93836,4712.8612
96,4B,Albuquerque,0.2,0.15000000000000002,623.93956,2519.8868899999998,1868.14996,5011.976409999999
97,4B,Albuquerque,0.2,0.1,596.65528,2480.0777,1824.3820199999998,4901.115
98,4B,Albuquerque,0.2,0.25,590.9426,2735.46458,1953.53228,5279.93946
99,4B,Albuquerque,0.2,0.2,612.1564800000001,2622.18099,1909.6376599999999,5143.97513
100,4B,Albuquerque,0.2,0.30000000000000004,579.96168,2856.0006,1997.5852499999999,5433.54753
101,4B,Albuquerque,0.2,0.35000000000000003,571.22464,2980.7804,2040.27641,5592.28145
102,4B,Albuquerque,0.2,0.45,554.0432400000001,3251.0521799999997,2144.1540099999997,5949.24943
