,Property Type,Climate Zone,City,HeatingSource,CoolingSource,FanSource,TotalSource
72,OfficeSmall,4C,Seattle,21.515189999999997,12.541319999999999,39.80919,73.8657
73,OfficeSmall,2A,Tampa,0.72841,100.17220999999999,49.88025,150.78087
74,OfficeSmall,2B,Tucson,1.1401199999999998,84.17885999999999,58.20945999999999,143.52844
75,SchoolPrimary,4B,Albuquerque,373.50304000000006,976.1010699999998,699.46362,2049.0677299999998
76,SchoolPrimary,3A,Atlanta,362.56548000000004,1630.84665,678.3397299999999,2671.75186
77,SchoolPrimary,5A,Buffalo,705.6298,548.27104,625.4191599999999,1879.32
78,SchoolPrimary,5B,Denver,825.2817200000001,712.1949599999999,616.77325,2154.24993
79,SchoolPrimary,3B,ElPaso,162.14472000000004,1525.5122299999998,773.6981,2461.3550499999997
80,SchoolPrimary,8,Fairbanks,2188.1515600000002,175.54681,636.66201,3000.36038
81,SchoolPrimary,6B,GreatFalls,778.5830000000001,393.34139999999996,555.96685,1727.8912500000001
82,SchoolPrimary,7,InternationalFalls,1372.43072,422.82616999999993,637.32708,2432.58397
83,SchoolPrimary,1A,Miami,15.75052,3676.2535999999996,852.71475,4544.71887
84,SchoolPrimary,4A,NewYork,429.10140000000007,935.1200899999999,668.6803799999999,2032.9018699999997
85,SchoolPrimary,6A,Rochester,1186.01524,573.38535,643.6294099999999,2403.0299999999997
86,SchoolPrimary,3C,SanDiego,57.58208,927.70931,696.74,1682.03139
87,SchoolPrimary,4C,Seattle,625.33792,350.9036,567.11469,1543.35621
88,SchoolPrimary,2A,Tampa,79.7282,2916.0785899999996,745.89184,3741.69863
89,SchoolPrimary,2B,Tucson,42.66624,2251.48364,874.85208,3169.00196
