,Climate Zone,City,U,SHGC,HeatingSource,CoolingSource,FanSource,TotalSource
26,4B,Albuquerque,0.05,0.45,82.11627,939.1105099999999,980.2498399999998,2001.4766199999997
27,4B,Albuquerque,0.05,0.4,86.01253,919.2217499999999,971.3188999999999,1976.5531799999999
28,4B,Albuquerque,0.05,0.55,75.53805,976.35443,998.11172,2050.0042
29,4B,Albuquerque,0.05,0.5,78.72673,957.73247,989.1807799999999,2025.63998
30,4B,Albuquerque,0.05,0.6000000000000001,72.53939,995.1030699999999,1007.0743299999999,2074.7167899999995
31,4B,Albuquerque,0.05,0.65,69.73074999999999,1013.94672,1016.03694,2099.71441
32,4B,Albuquerque,0.05,0.7000000000000001,67.05962999999998,1032.9170499999998,1025.03122,2125.0078999999996
33,4B,Albuquerque,0.05,0.75,64.56769,1051.91905,1033.99383,2150.4805699999997
34,4B,Albuquerque,0.05,0.8500000000000001,59.98553,1089.79637,1051.95072,2201.7326199999998
35,4B,Albuquerque,0.05,0.8,62.213269999999994,1070.85771,1042.95644,2176.02742
36,4B,Albuquerque,0.05,0.9500000000000001,55.857589999999995,1127.6736899999999,1069.97095,2253.50223
37,4B,Albuquerque,0.05,0.9,57.852799999999995,1108.70336,1060.945,2227.50116
38,4B,Albuquerque,0.15000000000000002,0.01,145.95086999999998,756.46962,901.4865499999999,1803.9070399999998
39,4B,Albuquerque,0.15000000000000002,0.15000000000000002,125.85275,809.54854,928.27937,1863.68066
40,4B,Albuquerque,0.15000000000000002,0.1,132.34765,790.4515299999999,918.4933399999999,1841.29252
41,4B,Albuquerque,0.15000000000000002,0.25,114.93319,844.2588599999999,945.2228199999998,1904.4148699999996
42,4B,Albuquerque,0.15000000000000002,0.2,120.19211000000001,826.9037000000001,936.7035899999998,1883.7993999999999
43,4B,Albuquerque,0.15000000000000002,0.30000000000000004,110.00181,861.7090299999999,953.77372,1925.4845599999999
44,4B,Albuquerque,0.15000000000000002,0.35000000000000003,105.41879999999998,879.25421,962.35629,1947.0293
45,4B,Albuquerque,0.15000000000000002,0.45,96.30612999999998,917.76493,979.8381299999999,1993.9091899999999
46,4B,Albuquerque,0.15000000000000002,0.4,100.78329,898.1612,970.9705299999998,1969.91502
47,4B,Albuquerque,0.15000000000000002,0.55,88.70362999999999,954.6604799999999,997.5733299999999,2040.93744
48,4B,Albuquerque,0.15000000000000002,0.5,92.40987,936.2602099999999,988.6740599999999,2017.3441399999997
49,4B,Albuquerque,0.15000000000000002,0.6000000000000001,85.25075000000001,973.1240899999999,1006.4725999999999,2064.84744
50,4B,Albuquerque,0.15000000000000002,0.65,81.96706,991.61937,1015.37187,2088.9583000000002
51,4B,Albuquerque,0.15000000000000002,0.7000000000000001,78.90505999999999,1010.2729999999999,1024.27114,2113.4492
52,4B,Albuquerque,0.15000000000000002,0.75,76.01225,1028.9582999999998,1033.17041,2138.1409599999997
53,4B,Albuquerque,0.15000000000000002,0.8500000000000001,70.65917,1066.5505899999998,1051.00062,2188.2103799999995
54,4B,Albuquerque,0.15000000000000002,0.8,73.26695,1047.77028,1042.10135,2163.13858
55,4B,Albuquerque,0.15000000000000002,0.9500000000000001,65.85532,1103.88952,1068.8308299999999,2238.5756699999997
