,Climate Zone,City,U,SHGC,HeatingSource,CoolingSource,FanSource,TotalSource
42,4B,Albuquerque,0.15000000000000002,0.2,180.96194000000003,605.8471,324.3008,1111.10984
43,4B,Albuquerque,0.15000000000000002,0.30000000000000004,121.78758,690.0576299999999,383.90373999999997,1195.74895
44,4B,Albuquerque,0.15000000000000002,0.35000000000000003,101.41197,731.70368,414.11691999999994,1247.23257
45,4B,Albuquerque,0.15000000000000002,0.45,77.07592000000001,815.3441499999999,477.26689999999996,1369.6869699999997
46,4B,Albuquerque,0.15000000000000002,0.4,87.55014,773.4447399999999,446.13529,1307.13017
47,4B,Albuquerque,0.15000000000000002,0.55,62.6113,896.2926699999999,535.31801,1494.2219799999998
48,4B,Albuquerque,0.15000000000000002,0.5,69.25878,858.2886699999999,506.52997999999997,1434.0774299999998
49,4B,Albuquerque,0.15000000000000002,0.6000000000000001,56.67331000000001,932.58649,564.32773,1553.58753
50,4B,Albuquerque,0.15000000000000002,0.65,51.37148,966.3467099999999,593.11576,1610.83395
51,4B,Albuquerque,0.15000000000000002,0.7000000000000001,46.74747000000001,997.6366699999999,622.1571499999999,1666.5412899999997
52,4B,Albuquerque,0.15000000000000002,0.75,42.71626,1030.25677,650.97685,1723.94988
53,4B,Albuquerque,0.15000000000000002,0.8500000000000001,36.07622,1100.43749,708.7746,1845.28831
54,4B,Albuquerque,0.15000000000000002,0.8,39.223650000000006,1065.5371499999999,679.76488,1784.5256799999997
55,4B,Albuquerque,0.15000000000000002,0.9500000000000001,30.761850000000003,1174.03857,766.54068,1971.3411
56,4B,Albuquerque,0.15000000000000002,0.9,33.262280000000004,1137.2697,737.5309599999999,1908.0629399999998
57,4B,Albuquerque,0.1,0.01,262.41398,438.09111,221.27829,921.78338
58,4B,Albuquerque,0.1,0.15000000000000002,188.68167,570.9784299999999,308.05409,1067.7141899999997
59,4B,Albuquerque,0.1,0.1,211.01532000000003,523.5367699999999,276.03571999999997,1010.5878099999999
60,4B,Albuquerque,0.1,0.25,128.73513,656.6774499999999,369.01883999999995,1154.43142
61,4B,Albuquerque,0.1,0.2,157.80506000000003,611.80106,338.36228,1107.9684
62,4B,Albuquerque,0.1,0.30000000000000004,105.46821999999999,697.84845,399.70706999999993,1203.0237399999999
63,4B,Albuquerque,0.1,0.35000000000000003,87.52502999999999,739.5578399999999,430.45863999999995,1257.54151
64,4B,Albuquerque,0.1,0.45,66.21718,825.0985099999999,496.49059,1387.8062799999998
65,4B,Albuquerque,0.1,0.4,75.67796000000001,781.01387,463.04707,1319.7389
66,4B,Albuquerque,0.1,0.55,53.66806,899.5230099999999,556.3468899999999,1509.5379599999997
67,4B,Albuquerque,0.1,0.5,59.54951,863.2291899999999,526.89379,1449.67249
68,4B,Albuquerque,0.1,0.6000000000000001,48.57453,935.4684599999999,585.5783,1569.62129
69,4B,Albuquerque,0.1,0.65,44.05212,970.59049,615.06307,1629.70568
70,4B,Albuquerque,0.1,0.7000000000000001,40.03834,1002.0387999999999,644.1044599999999,1686.1816
71,4B,Albuquerque,0.1,0.75,36.57315,1035.83069,673.33587,1745.7397099999998
72,4B,Albuquerque,0.1,0.8500000000000001,30.723370000000003,1108.7667,731.79869,1871.28876
73,4B,Albuquerque,0.1,0.8,33.443999999999996,1072.75791,702.47227,1808.67418
74,4B,Albuquerque,0.1,0.9500000000000001,26.16929,1182.14609,790.3565199999999,1998.6718999999998
75,4B,Albuquerque,0.1,0.9,28.30626,1145.59891,761.09344,1934.99861
76,4B,Albuquerque,0.25,0.01,440.02207,414.7186499999999,203.82811999999998,1058.56884
77,4B,Albuquerque,0.25,0.15000000000000002,290.63937,547.891,278.75933999999995,1117.28971
